Frame Index,Area Convex (px^2),Area Measured (px^2),Area (microns^2),Width (px),Height (px),Width (microns),Height (microns),Aspect Ratio,Porosity,Brightness,Deformation,Inertia Ratio,Principal Inertia Ratio,Poisson Ratio
324,1109.0,1063.0,118.1111,36,38,12.0,12.6667,0.9474,1.0433,111.7868,0.0918,1.0793,0.8971,0.9733
325,2377.0,2309.5,256.6111,37,84,12.3333,28.0,0.4405,1.0292,118.4503,0.1801,5.5929,0.1776,0.6637
326,964.0,923.5,102.6111,34,40,11.3333,13.3333,0.85,1.0439,116.1502,0.1277,1.6496,0.5668,0.922
327,2328.5,2265.5,251.7222,39,78,13.0,26.0,0.5,1.0278,118.9376,0.1469,4.2491,0.2353,0.7071
328,2663.0,2572.5,285.8333,40,89,13.3333,29.6667,0.4494,1.0352,123.4906,0.1794,5.0364,0.1976,0.6704
329,2211.5,2154.5,239.3889,37,80,12.3333,26.6667,0.4625,1.0265,126.289,0.1666,4.8738,0.2048,0.6801
330,2532.0,2480.0,275.5556,43,76,14.3333,25.3333,0.5658,1.021,124.5259,0.1174,3.206,0.3117,0.7522
331,2289.5,2255.0,250.5556,45,66,15.0,22.0,0.6818,1.0153,119.4568,0.0852,2.1909,0.4548,0.8257
332,1859.5,1816.5,201.8333,39,60,13.0,20.0,0.65,1.0237,118.6445,0.105,2.5891,0.3844,0.8062
333,2011.0,1976.0,219.5556,38,67,12.6667,22.3333,0.5672,1.0177,120.3061,0.1083,3.1509,0.3165,0.7531
334,1083.5,1056.5,117.3889,41,39,13.6667,13.0,1.0513,1.0256,120.6756,0.1347,1.1192,0.89,1.0253
335,2658.5,2611.5,290.1667,44,80,14.6667,26.6667,0.55,1.018,125.0522,0.1253,3.3504,0.298,0.7416
336,2030.0,1987.0,220.7778,40,65,13.3333,21.6667,0.6154,1.0216,123.5394,0.1232,2.8292,0.3521,0.7845
338,2652.0,2596.5,288.5,47,78,15.6667,26.0,0.6026,1.0214,122.8563,0.1213,2.9073,0.3432,0.7763
339,1195.5,1175.0,130.5556,38,40,12.6667,13.3333,0.95,1.0174,119.6426,0.0718,1.1089,0.8755,0.9747
341,2091.5,2066.5,229.6111,48,56,16.0,18.6667,0.8571,1.0121,119.439,0.0555,1.386,0.718,0.9258
342,3345.5,3299.0,366.5556,52,84,17.3333,28.0,0.619,1.0141,120.9385,0.0984,2.5868,0.3864,0.7868
343,413.5,372.0,41.3333,49,13,16.3333,4.3333,3.7692,1.1116,131.715,0.3789,0.0755,0.0753,1.9415
344,2182.5,2140.5,237.8333,42,66,14.0,22.0,0.6364,1.0196,125.5981,0.0995,2.6067,0.3759,0.7977
345,1665.5,1623.0,180.3333,33,64,11.0,21.3333,0.5156,1.0262,124.208,0.1348,3.8809,0.2548,0.7181
346,2364.0,2311.5,256.8333,41,77,13.6667,25.6667,0.5325,1.0227,124.4935,0.1368,3.6472,0.2728,0.7297
347,2580.0,2531.0,281.2222,42,80,14.0,26.6667,0.525,1.0194,126.2167,0.1244,3.6085,0.2755,0.7246
348,1410.5,1376.5,152.9444,36,50,12.0,16.6667,0.72,1.0247,117.5612,0.1153,2.1523,0.4646,0.8485
350,2888.0,2846.0,316.2222,51,74,17.0,24.6667,0.6892,1.0148,124.5315,0.0951,2.0371,0.4898,0.8302
353,1940.5,1904.5,211.6111,39,66,13.0,22.0,0.5909,1.0189,122.002,0.124,2.9592,0.3354,0.7687
354,2855.0,2784.5,309.3889,39,98,13.0,32.6667,0.398,1.0253,122.7136,0.2083,6.5734,0.1517,0.6308
355,2934.5,2850.5,316.7222,53,77,17.6667,25.6667,0.6883,1.0295,117.6582,0.1159,2.2197,0.4444,0.8296
356,2663.5,2596.5,288.5,38,94,12.6667,31.3333,0.4043,1.0258,126.3328,0.1987,6.5307,0.1523,0.6358
357,1758.0,1720.0,191.1111,42,56,14.0,18.6667,0.75,1.0221,117.7099,0.0765,1.8225,0.5468,0.866
358,1912.5,1875.0,208.3333,44,58,14.6667,19.3333,0.7586,1.02,123.0123,0.0864,1.7983,0.5494,0.871
359,2025.0,1952.5,216.9444,39,67,13.0,22.3333,0.5821,1.0371,114.1963,0.1304,3.137,0.317,0.7629
361,1786.5,1750.0,194.4444,35,62,11.6667,20.6667,0.5645,1.0209,118.1226,0.1159,3.1631,0.3131,0.7513
362,2579.0,2529.5,281.0556,44,75,14.6667,25.0,0.5867,1.0196,125.5,0.1061,2.9188,0.3426,0.7659
363,3271.5,3223.0,358.1111,45,90,15.0,30.0,0.5,1.015,125.7532,0.1282,4.0404,0.2465,0.7071
364,651.0,630.5,70.0556,47,20,15.6667,6.6667,2.35,1.0325,125.1982,0.2041,0.2004,0.1998,1.533
365,3087.0,3035.5,337.2778,57,70,19.0,23.3333,0.8143,1.017,122.8033,0.0681,1.4852,0.6723,0.9024
366,2621.0,2562.5,284.7222,38,90,12.6667,30.0,0.4222,1.0228,123.5336,0.1822,5.7576,0.1734,0.6498
367,2178.5,2140.5,237.8333,49,58,16.3333,19.3333,0.8448,1.0178,119.6071,0.0652,1.4319,0.697,0.9191
368,857.5,823.0,91.4444,45,26,15.0,8.6667,1.7308,1.0419,116.6591,0.1827,0.3869,0.3853,1.3156
369,2792.5,2745.5,305.0556,45,80,15.0,26.6667,0.5625,1.0171,119.428,0.1166,3.3031,0.3023,0.75
370,2623.5,2521.0,280.1111,44,76,14.6667,25.3333,0.5789,1.0407,119.5128,0.1458,3.1049,0.3219,0.7609
372,4280.0,4166.0,462.8889,45,120,15.0,40.0,0.375,1.0274,123.5462,0.2105,7.4727,0.1337,0.6124
374,3867.0,3130.5,347.8333,53,103,17.6667,34.3333,0.5146,1.2353,128.4475,0.2935,2.9701,0.2767,0.7173
377,2159.0,2113.0,234.7778,43,62,14.3333,20.6667,0.6935,1.0218,122.682,0.0959,2.1454,0.4643,0.8328
378,2627.5,2582.0,286.8889,47,74,15.6667,24.6667,0.6351,1.0176,126.2416,0.1016,2.6156,0.376,0.797
379,2918.5,2862.5,318.0556,51,76,17.0,25.3333,0.6711,1.0196,123.9581,0.1085,2.4061,0.4142,0.8192
380,1583.5,1560.5,173.3889,44,43,14.6667,14.3333,1.0233,1.0147,123.4212,0.0777,0.9378,0.8416,1.0116
381,1605.5,1570.5,174.5,38,56,12.6667,18.6667,0.6786,1.0223,122.9243,0.0954,2.3286,0.4293,0.8238
382,1145.0,1126.0,125.1111,40,38,13.3333,12.6667,1.0526,1.0169,120.9907,0.0914,0.9825,0.9576,1.026
383,2886.5,2832.5,314.7222,46,81,15.3333,27.0,0.5679,1.0191,121.5483,0.1146,3.1402,0.3184,0.7536
385,1216.5,1199.0,133.2222,34,43,11.3333,14.3333,0.7907,1.0146,117.4603,0.0731,1.6156,0.6182,0.8892
386,2154.5,2106.5,234.0556,44,64,14.6667,21.3333,0.6875,1.0228,128.0197,0.0975,2.2322,0.4397,0.8292
387,2831.0,2776.5,308.5,43,75,14.3333,25.0,0.5733,1.0196,119.0296,0.1223,3.1158,0.3186,0.7572
388,3189.5,3106.0,345.1111,45,85,15.0,28.3333,0.5294,1.0269,122.631,0.1304,3.521,0.2838,0.7276
389,1993.5,1958.0,217.5556,42,62,14.0,20.6667,0.6774,1.0181,121.3545,0.09,2.2892,0.4367,0.8231
390,1901.0,1862.5,206.9444,40,60,13.3333,20.0,0.6667,1.0207,123.2228,0.1026,2.3807,0.4195,0.8165
391,3922.0,3857.5,428.6111,46,108,15.3333,36.0,0.4259,1.0167,124.9205,0.1684,5.624,0.1778,0.6526
392,3310.5,3266.0,362.8889,58,74,19.3333,24.6667,0.7838,1.0136,121.1262,0.0699,1.6469,0.6028,0.8853
393,1664.0,1633.0,181.4444,56,37,18.6667,12.3333,1.5135,1.019,121.1371,0.1098,0.4354,0.432,1.2302
394,2494.5,2450.0,272.2222,45,72,15.0,24.0,0.625,1.0182,120.9748,0.0979,2.5991,0.3844,0.7906
395,726.5,710.0,78.8889,42,24,14.0,8.0,1.75,1.0232,121.0356,0.1354,0.3685,0.3651,1.3229
396,3092.0,3043.0,338.1111,58,70,19.3333,23.3333,0.8286,1.0161,123.0845,0.0855,1.5621,0.6384,0.9103
397,2425.5,2389.0,265.4444,49,67,16.3333,22.3333,0.7313,1.0153,122.5872,0.0849,1.9259,0.5189,0.8552
400,4280.5,4201.0,466.7778,56,98,18.6667,32.6667,0.5714,1.0189,124.8067,0.1264,3.3178,0.295,0.7559
402,2387.0,2250.5,250.0556,39,82,13.0,27.3333,0.4756,1.0607,122.1063,0.2331,5.2308,0.1911,0.6896
403,1388.5,1368.0,152.0,42,42,14.0,14.0,1.0,1.015,115.0021,0.0594,1.0245,0.9502,0
404,2172.5,2134.0,237.1111,49,60,16.3333,20.0,0.8167,1.018,124.9674,0.0722,1.5539,0.6004,0.9037
405,2163.0,2119.0,235.4444,39,72,13.0,24.0,0.5417,1.0208,121.3224,0.1244,3.5444,0.2821,0.736
406,1443.0,1397.0,155.2222,38,47,12.6667,15.6667,0.8085,1.0329,125.3015,0.1123,1.5791,0.6157,0.8992
407,1190.5,1170.0,130.0,34,43,11.3333,14.3333,0.7907,1.0175,118.8335,0.0957,1.588,0.6174,0.8892
408,1938.5,1904.0,211.5556,37,69,12.3333,23.0,0.5362,1.0181,124.3976,0.1271,3.4149,0.2925,0.7323
409,2992.0,2942.0,326.8889,46,85,15.3333,28.3333,0.5412,1.017,125.2296,0.128,3.5657,0.2804,0.7356
410,1987.5,1936.0,215.1111,41,57,13.6667,19.0,0.7193,1.0266,125.23,0.104,1.9511,0.511,0.8481
411,1462.0,1433.0,159.2222,35,51,11.6667,17.0,0.6863,1.0202,121.2921,0.1128,2.2835,0.4367,0.8284
412,2392.0,2333.5,259.2778,43,73,14.3333,24.3333,0.589,1.0251,128.3029,0.1238,3.1056,0.3219,0.7675
413,2436.0,2372.5,263.6111,39,81,13.0,27.0,0.4815,1.0268,122.183,0.1609,4.6784,0.2137,0.6939
414,955.0,933.0,103.6667,32,38,10.6667,12.6667,0.8421,1.0236,116.9808,0.0946,1.4857,0.6685,0.9177
415,2612.5,2555.0,283.8889,40,84,13.3333,28.0,0.4762,1.0225,121.5989,0.1516,4.6247,0.2161,0.6901
416,2550.0,2484.0,276.0,45,71,15.0,23.6667,0.6338,1.0266,120.3323,0.1284,2.6444,0.3765,0.7961
417,3056.5,3003.5,333.7222,46,84,15.3333,28.0,0.5476,1.0176,122.3089,0.1166,3.3621,0.2973,0.74
418,1453.5,1427.5,158.6111,40,46,13.3333,15.3333,0.8696,1.0182,122.113,0.092,1.4147,0.6443,0.9325
419,2203.5,2142.5,238.0556,47,65,15.6667,21.6667,0.7231,1.0285,127.91,0.1038,2.0608,0.4816,0.8503
421,2458.5,2410.5,267.8333,43,75,14.3333,25.0,0.5733,1.0199,123.9039,0.1132,3.1125,0.3208,0.7572
422,2353.5,2282.5,253.6111,43,72,14.3333,24.0,0.5972,1.0311,125.5643,0.1401,2.9886,0.3315,0.7728
423,3534.5,3468.0,385.3333,49,95,16.3333,31.6667,0.5158,1.0192,125.7791,0.1409,4.0569,0.2464,0.7182
424,932.0,899.5,99.9444,38,31,12.6667,10.3333,1.2258,1.0361,118.8187,0.1128,0.7373,0.731,1.1072
425,1511.5,1484.5,164.9444,38,52,12.6667,17.3333,0.7308,1.0182,119.419,0.0727,1.8514,0.5397,0.8549
426,2098.0,2066.5,229.6111,47,60,15.6667,20.0,0.7833,1.0152,123.4106,0.069,1.6228,0.616,0.8851
427,1198.5,1175.0,130.5556,40,37,13.3333,12.3333,1.0811,1.02,121.3436,0.0659,0.8727,0.8059,1.0398
428,831.0,815.5,90.6111,36,31,12.0,10.3333,1.1613,1.019,121.0289,0.0949,0.8613,0.8303,1.0776
429,2547.5,2500.0,277.7778,46,74,15.3333,24.6667,0.6216,1.019,122.908,0.1018,2.6278,0.3802,0.7884
431,3495.5,3438.5,382.0556,46,101,15.3333,33.6667,0.4554,1.0166,126.8923,0.1592,4.8791,0.2046,0.6749
432,3009.5,2956.5,328.5,42,90,14.0,30.0,0.4667,1.0179,125.7812,0.145,4.673,0.2139,0.6831
433,2097.5,2064.0,229.3333,39,69,13.0,23.0,0.5652,1.0162,118.7072,0.1169,3.1605,0.3148,0.7518
434,725.5,708.0,78.6667,38,27,12.6667,9.0,1.4074,1.0247,118.7381,0.1206,0.5843,0.5836,1.1863
435,2132.0,2091.0,232.3333,45,64,15.0,21.3333,0.7031,1.0196,122.4002,0.0937,2.1692,0.4597,0.8385
