Frame Index ,Area (microns^2) ,Centroid X (microns) ,Centroid Y (microns) ,Width (microns) ,Height (microns) ,Aspect Ratio ,Solidity
        359 ,      49444500.0 ,                 650 ,                 290 ,            390 ,             600 ,      0.65   ,  0.9754
        360 ,      67524000.0 ,                 640 ,                1860 ,            470 ,             770 ,      0.6104 ,  0.9848
        361 ,      59517000.0 ,                 620 ,                 310 ,            450 ,             640 ,      0.7031 ,  0.9761
        362 ,      62016000.0 ,                 610 ,                 920 ,            440 ,             680 ,      0.6471 ,  0.9855
        363 ,      56380500.0 ,                 630 ,                1360 ,            430 ,             670 ,      0.6418 ,  0.9818
        364 ,      97614000.0 ,                 650 ,                1580 ,            520 ,             940 ,      0.5532 ,  0.9836
        365 ,      94579500.0 ,                 630 ,                1860 ,            520 ,             920 ,      0.5652 ,  0.9848
        366 ,      84022500.0 ,                 610 ,                 370 ,            530 ,             770 ,      0.6883 ,  0.9816
        367 ,      52836000.0 ,                 600 ,                2110 ,            440 ,             620 ,      0.7097 ,  0.9842
        368 ,      51025500.0 ,                 590 ,                 510 ,            440 ,             610 ,      0.7213 ,  0.9794
        369 ,      62194500.0 ,                 620 ,                1100 ,            430 ,             730 ,      0.589  ,  0.981
        370 ,      54978000.0 ,                 680 ,                1360 ,            440 ,             660 ,      0.6667 ,  0.9783
        371 ,      79075500.0 ,                 680 ,                2100 ,            530 ,             740 ,      0.7162 ,  0.984
        372 ,      79305000.0 ,                 660 ,                 540 ,            540 ,             730 ,      0.7397 ,  0.9847
        373 ,      70762500.0 ,                 660 ,                1910 ,            460 ,             780 ,      0.5897 ,  0.985
        374 ,      61378500.0 ,                 640 ,                 320 ,            430 ,             670 ,      0.6418 ,  0.9799
